UserId,Sports,Religious,Nature,Theatre,Shopping,Picnic
User221,18,114,173,183,128,124
User222,18,128,134,188,89,124
User223,18,143,154,129,129,178
User224,18,128,163,173,133,130
User225,18,148,99,139,168,129
User226,18,83,218,163,74,140
User227,22,120,168,158,144,133
User228,22,203,99,104,223,173
User229,18,143,139,119,139,203
User230,22,153,144,139,144,193
User231,18,147,144,129,149,144
User232,18,188,74,109,213,168
User233,25,158,154,154,154,153
User234,25,104,208,168,134,144
User235,25,139,153,193,158,134
User236,25,84,247,168,109,140
User237,25,173,89,124,233,158
User238,8,93,119,99,89,138
User239,22,124,168,208,148,124
User240,18,114,158,178,158,124
User241,20,188,94,94,223,153
User242,25,114,238,124,104,178
User243,18,94,188,148,99,139
User244,25,129,318,94,89,188
User245,18,139,148,129,129,168
User246,22,114,228,104,84,168
User247,20,124,178,104,158,174
User248,20,133,149,139,144,213
User249,20,143,149,139,159,143
